Designator,Footprint,Quantity,Value,LCSC Part #
A2,Adafruit_Feather,1,HUZZAH32_ESP32,
"B1, B2, B3, B4",Twidec Button,4,~,
"C1, C4, C8",Cap0805,3,"0.1uF,50V",
"C10, C11, C3, C5, C6, C7",Cap0805,6,0.1uF,
"C2, C9",Cap0805,2,"0.47uF,50V",
"D1, D2, D3, D4",LED_D3.0mm,4,LED,
DS1,WC1602A,1,WC1602A,
"J3, J4",CONN_SD-43045-001_02_MOL,2,430450200,
J5,HARWIN_M22-7130442,1,M22-7130442,
J7,3pin_CON_22035035_MOL,1,22035035,
"Q1, Q2, Q3, Q4",TO-92_Inline,4,2N3904,
"R1, R10, R14, R15, R16, R2, R3, R34, R5, R6, R7, R8, R9",0805RESC2012X60N,13,"10kohms, 0.125W",
R11,0805RESC2012X60N,1,220 Ohms,
"R12, R17, R18, R19, R20, R21, R22, R23",0805RESC2012X60N,8,"220ohm, 1/16W",
R13,TRIM_3214J-1-203E,1,3214J-1-203E,
R24,0805RESC2012X60N,1,120 Ohms,
R25,0805RESC2012X60N,1,0 Ohms,
"R26, R28, R31, R32",0805RESC2012X60N,4,1KOhms,
"R27, R29, R30, R33",0805RESC2012X60N,4,100 Ohms,
"R35, R36, R38",0805RESC2012X60N,3,470ohms,
R37,0805RESC2012X60N,1,220ohms,
R4,0805RESC2012X60N,1,10kOhms,
"S1, S2, S3, S4, S5, S6, S8",TAISS 3 Pin Switch,7,~,
SW1,SW_A8L-11_OMR,1,A8L-11-12N1,
"TP1, TP10, TP11, TP12, TP13, TP15, TP16, TP17, TP2, TP20, TP21, TP22, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_2.5x2.5mm,19,TestPoint,
TP18,TestPoint_Pad_D1.0mm,1,CANL,
TP19,TestPoint_Pad_D1.0mm,1,CANH,
TP23,TestPoint_Pad_D1.0mm,1,PA8,
TP26,TestPoint_Pad_D1.0mm,1,+3.3V,
TP27,TestPoint_Pad_D1.0mm,1,TXD,
TP28,TestPoint_Pad_D1.0mm,1,RXD,
TP29,TestPoint_Pad_D1.0mm,1,SDA/PB9,
TP30,TestPoint_Pad_D1.0mm,1,TX,
TP31,TestPoint_Pad_D1.0mm,1,SCL/PB8,
TP32,TestPoint_Pad_D1.0mm,1,RX,
TP33,TestPoint_Pad_2.5x2.5mm,1,regen,
TP34,TestPoint_Pad_2.5x2.5mm,1,headlights,
TP35,TestPoint_Pad_2.5x2.5mm,1,wipers,
TP36,TestPoint_Pad_2.5x2.5mm,1,reverse,
TP37,TestPoint_Pad_2.5x2.5mm,1,hazard,
TP38,TestPoint_Pad_2.5x2.5mm,1,DAQ,
TP39,TestPoint_Pad_2.5x2.5mm,1,BUTTON,
TP40,TestPoint_Pad_2.5x2.5mm,1,HORN,
TP41,TestPoint_Pad_2.5x2.5mm,1,DISCHARGE,
TP42,TestPoint_Pad_2.5x2.5mm,1,switch,
TP43,TestPoint_Pad_2.5x2.5mm,1,Left,
TP44,TestPoint_Pad_2.5x2.5mm,1,Right,
"U1, U4",SOT230P700X180-4N,2,UA78M05-Q1,
U2,SOIC127P600X175-8N,1,MCP2562-E-P,
U3,CD4511BPWR,1,CD4511BPWR,
U5,Seven_Seg_display,1,7 Segment Display,
U6,MODULE_NUCLEO-F446RE,1,STM32 Nucleo F446RE,
U7,DIP-16_W7.62mm,1,PCF8574AP,
