Designator,Mid X,Mid Y,Rotation,Layer
A2,730.3,-52.18,90.0,top
B1,523.577,-92.99,0.0,top
B2,554.215,-92.99,0.0,top
B3,523.577,-115.49,0.0,top
B4,554.215,-115.49,0.0,top
C1,565.85,-34.885104,270.0,top
C10,772.235,-71.1,270.0,top
C11,778.0,-61.0,0.0,top
C2,565.63,-26.190207,270.0,top
C3,752.465,-79.2,270.0,top
C4,690.06,-36.680001,270.0,top
C5,714.565,-82.4625,180.0,top
C6,621.61,-97.92,270.0,top
C7,621.7,-92.33,270.0,top
C8,709.1,-31.2,180.0,top
C9,709.81,-23.5,270.0,top
D1,580.0,-35.5,270.0,top
D2,721.3,-34.9,180.0,top
D3,614.2,-85.2,90.0,top
D4,616.1,-92.5,270.0,top
DS1,744.80045,-103.36285,0.0,top
H1,511.06,-16.97,0.0,top
H2,509.7,-128.79,0.0,top
H3,784.78,-128.78,0.0,top
H4,784.78,-16.93,0.0,top
J3,546.942995,-21.995134,270.0,top
J4,546.935247,-36.992888,270.0,top
J5,771.5925,-79.66,180.0,top
J7,771.85401,-45.309998,180.0,top
Q1,617.735,-76.19,270.0,top
Q2,608.48,-69.74,90.0,top
Q3,618.44,-69.74,90.0,top
Q4,607.775,-76.1846,270.0,top
R1,583.4105,-74.4705,0.0,top
R10,544.715,-123.11,0.0,top
R11,748.925,-82.4625,90.0,top
R12,684.248,-38.080002,180.0,top
R13,717.85,-76.6375,270.0,top
R14,519.9,-55.29,90.0,top
R15,564.8625,-54.0905,0.0,top
R16,592.83,-110.01,90.0,top
R17,684.154,-35.611002,180.0,top
R18,684.154,-33.111002,180.0,top
R19,684.154,-30.611002,180.0,top
R2,564.8625,-74.4705,0.0,top
R20,653.7246,-41.77,90.0,top
R21,684.154,-25.581002,180.0,top
R22,684.154,-23.111002,180.0,top
R23,684.154,-28.111002,180.0,top
R24,771.6,-57.66,180.0,top
R25,622.17,-110.37,270.0,top
R26,621.885,-77.16,270.0,top
R27,614.25,-75.89,270.0,top
R28,611.945,-77.1546,90.0,top
R29,614.24,-70.04,90.0,top
R3,583.4105,-54.0905,0.0,top
R30,604.295,-73.9446,90.0,top
R31,621.87,-70.6,90.0,top
R32,611.925,-70.6,90.0,top
R33,604.275,-70.04,90.0,top
R34,535.28,-55.33,90.0,top
R35,580.0,-31.0,90.0,top
R36,725.9,-34.9,0.0,top
R37,610.1,-86.5,180.0,top
R38,612.0,-91.23,180.0,top
R4,766.5,-61.35,0.0,top
R5,543.8955,-74.4705,0.0,top
R6,525.1605,-74.4705,0.0,top
R7,514.077,-100.61,0.0,top
R8,544.715,-100.61,0.0,top
R9,514.077,-123.11,0.0,top
S1,576.9105,-79.1705,0.0,top
S2,558.3775,-79.1705,0.0,top
S3,576.9105,-58.7905,0.0,top
S4,558.3775,-58.7905,0.0,top
S5,537.3905,-79.1705,0.0,top
S6,518.6605,-79.1705,0.0,top
S8,527.62,-58.19,90.0,top
SW1,580.4,-110.98,0.0,top
TP1,569.264897,-39.325104,0.0,top
TP10,694.4,-39.21,180.0,top
TP11,544.1605,-83.6705,0.0,top
TP12,525.1605,-83.6705,0.0,top
TP13,597.1,-109.04,0.0,top
TP15,565.1275,-63.1705,0.0,top
TP16,535.5,-60.75,90.0,top
TP17,532.752,-97.418747,0.0,top
TP18,775.2,-49.5,90.0,top
TP19,768.0,-49.5,90.0,top
TP2,561.47,-35.43,0.0,top
TP20,563.752,-97.918747,0.0,top
TP21,533.252,-120.418747,0.0,top
TP22,563.752,-120.418747,0.0,top
TP23,764.0,-64.5,0.0,top
TP26,779.0,-64.5,0.0,top
TP27,768.5925,-82.5,0.0,top
TP28,774.5925,-82.5,0.0,top
TP29,749.35,-38.5,0.0,top
TP3,710.21,-35.7,0.0,top
TP30,695.5,-122.43,0.0,top
TP31,746.8,-38.5,0.0,top
TP32,695.5,-120.0,0.0,top
TP33,550.967,-54.0905,0.0,top
TP34,511.0,-74.4705,0.0,top
TP35,530.0,-74.4705,0.0,top
TP36,569.5,-54.0905,0.0,top
TP37,550.967,-74.4705,0.0,top
TP38,513.5,-105.0,0.0,top
TP39,544.5,-105.0,0.0,top
TP4,583.6605,-83.6705,0.0,top
TP40,513.5,-118.0,0.0,top
TP41,544.5,-118.0,0.0,top
TP42,569.5,-74.4705,0.0,top
TP43,515.0,-56.0,0.0,top
TP44,542.0,-56.0,0.0,top
TP5,565.1275,-83.6705,0.0,top
TP6,619.275,-81.775,0.0,top
TP7,616.075,-96.975,0.0,top
TP8,698.53,-26.16,180.0,top
TP9,583.1605,-63.1705,0.0,top
U1,572.164897,-31.685104,0.0,top
U2,771.6,-64.0,90.0,top
U3,692.8794,-31.005002,180.0,top
U5,654.9973,-30.363,0.0,top
U6,658.63,-98.935,0.0,top
U7,739.95,-74.435,270.0,top
