Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",Big_Chunky_Cap,2,"470uF, 63V",
"C10, C11",0805,2,22uF,
"C12, C15, C17, C18, C19, C20, C23, C7, C8",0805,9,0.1uF,
C13,0805,1,0.33uF,
C14,0805,1,22 uF,
"C16, C21",0805,2,0.1μF,
"C2, C4",1206,2,10μF,
C22,0805,1,10uF,
C5,0805,1,220nF,
C6,0805,1,2.2uF,
C9,0805,1,0.333uF,
D1,LED_D3.0mm,1,Power_LED,
FERITE_BEAD1,Ferite_Joule,1,FB1,
"J1, J2",AMASS_XT60-M,2,XT60-M,
"J3, J4",3pin_CON_22035035_MOL,2,22035035,
J5,HARWIN_M22-7130442,1,M22-7130442,
L1,1206,1,100uH,
NUCLEO_F44RE2,MODULE_NUCLEO-F446RE,1,~,
R0,RESC10052X145N,1,R_Shunt_US,
R1,0805,1,100K,
"R10, R11, R14, R9",0805,4,50,
R12,0805,1,5k,
R13,0805,1,0,
R15,0805,1,220,
R2,0805,1,16K,
R3,0805,1,500k,
R4,0805,1,20k,
"R5, R6",0805,2,500,
"R7, R8",0805,2,2k,
"TP1_2, TP1",TestPoint_Pad_1.0x1.0mm,2,Ground,
TP10,TestPoint_Pad_1.0x1.0mm,1,CURRENT-OUT,
TP11,TestPoint_Pad_1.0x1.0mm,1,VF-RC,
TP12,TestPoint_Pad_1.0x1.0mm,1,ADC- 1.6V,
TP13,TestPoint_Pad_1.0x1.0mm,1,VF-V+,
TP14,TestPoint_Pad_1.0x1.0mm,1,VF-V-,
TP15,TestPoint_Pad_1.0x1.0mm,1,CT-RCAN_H,
TP16,TestPoint_Pad_1.0x1.0mm,1,CT-CAN_L,
TP17,TestPoint_Pad_1.0x1.0mm,1,POWER-3V3A,
TP18,TestPoint_Pad_1.0x1.0mm,1,ADC-CS,
TP2,TestPoint_Pad_1.0x1.0mm,1,POWER-48V IN,
TP21,TestPoint_Pad_1.0x1.0mm,1,ADC-SCLK,
TP22,TestPoint_Pad_1.0x1.0mm,1,ADC-MISO,
TP23,TestPoint_Pad_1.0x1.0mm,1,ADC-MOSI,
TP24,TestPoint_Pad_1.0x1.0mm,1,CURRENT-RC,
TP25,TestPoint_Pad_1.0x1.0mm,1,POWER-3V3D,
TP3,TestPoint_Pad_1.0x1.0mm,1,POWER-48V OUT,
TP4,TestPoint_Pad_1.0x1.0mm,1,BUCK-VCC,
TP5,TestPoint_Pad_1.0x1.0mm,1,BUCK-PG,
TP6,TestPoint_Pad_1.0x1.0mm,1,BUCK-FB,
TP7,TestPoint_Pad_1.0x1.0mm,1,BUCK-BOOT,
TP8,TestPoint_Pad_1.0x1.0mm,1,POWER-7V,
TP9,TestPoint_Pad_1.0x1.0mm,1,POWER-5V,
U1,DDA0008J,1,LMR36510,
U2,SOT-223_DCY_TEX,1,~,
U3,TSSOP-8_4.4x3mm_P0.65mm,1,INA240A1PW,
U4,DGS0010A_M,1,ADS1118IDGS-Q1,
U5,SOT-23-5,1,MCP6286T-E/OT1,
U6,SOIC8-N_MC_MCH-M,1,MCP2562,
