Designator,Mid X,Mid Y,Rotation,Layer
+3V3A,129.95,-60.55,180.0,top
+3V3D,137.05,-60.5,0.0,top
C1,107.5,-40.99175,90.0,top
C10,93.2625,-77.1,0.0,top
C11,93.2625,-79.2,0.0,top
C12,89.9,-91.8875,90.0,top
C13,89.9,-87.5625,270.0,top
C14,87.9,-87.5625,270.0,top
C15,95.549999,-65.849999,90.0,top
C16,107.35,-65.0,0.0,top
C17,112.625,-72.05,270.0,top
C18,112.625,-68.1625,270.0,top
C19,123.9,-69.1,180.0,top
C2,118.5,-40.4375,90.0,top
C20,213.6,-85.1625,270.0,top
C21,119.4,-80.5575,90.0,top
C22,211.6,-85.1625,270.0,top
C23,130.75,-81.75,90.0,top
C24,137.05,-63.7,270.0,top
C25,130.0,-63.8,270.0,top
C3,87.5,-40.99175,270.0,top
C4,78.5,-40.0625,90.0,top
C5,78.964999,-67.100001,180.0,top
C6,78.964999,-65.100001,180.0,top
C7,76.2,-78.8375,90.0,top
C8,79.5375,-77.7,0.0,top
C9,93.2625,-75.0,0.0,top
D1,86.6639,-92.6136,270.0,top
FERITE_BEAD1,133.415,-61.65,180.0,top
GND,87.5,-66.0,180.0,top
J1,124.6,-50.0,0.0,top
J2,73.6,-50.0,180.0,top
J3,106.4,-86.4,270.0,top
J4,105.0,-106.25,90.0,top
J5,137.0,-81.5,270.0,top
L1,86.2,-78.6,0.0,top
NUCLEO_F44RE2,175.23,-65.035,180.0,top
R0,98.5193,-50.0,180.0,top
R1,73.8,-76.2,270.0,top
R10,137.8,-70.7,180.0,top
R11,137.75,-68.1,180.0,top
R12,131.0,-57.5,180.0,top
R13,211.5,-47.7,270.0,top
R14,195.2,-34.3,180.0,top
R15,87.65,-96.25,180.0,top
R2,71.8,-76.2,270.0,top
R3,106.7,-59.9875,270.0,top
R4,109.5,-62.8,0.0,top
R5,107.600001,-71.049999,0.0,top
R6,107.600001,-69.049999,0.0,top
R7,121.8625,-72.3,180.0,top
R8,121.8625,-74.3,0.0,top
R9,137.8,-73.5,180.0,top
TP10,102.6,-71.049999,0.0,top
TP11,110.525,-69.05,270.0,top
TP12,120.8625,-76.4,0.0,top
TP13,106.7,-62.8,0.0,top
TP14,104.6,-68.0,0.0,top
TP15,119.0,-86.4825,0.0,top
TP16,119.0,-83.9425,0.0,top
TP18,191.5,-34.3,0.0,top
TP2,112.3,-50.0,0.0,top
TP21,134.95,-73.5,0.0,top
TP22,134.85,-70.7,0.0,top
TP23,134.7,-68.1,0.0,top
TP24,110.525,-71.15,270.0,top
TP3,87.5,-49.9,0.0,top
TP4,74.0,-80.0,0.0,top
TP5,75.464999,-67.100001,0.0,top
TP6,71.8,-73.0,0.0,top
TP7,78.6,-79.850001,0.0,top
TP8,92.1,-83.95,0.0,top
TP9,91.5,-95.45,270.0,top
U1,77.865,-72.45,270.0,top
U2,95.4,-89.9625,90.0,top
U3,98.549999,-64.024999,180.0,top
U4,118.2,-69.1,0.0,top
U5,103.4625,-65.0,0.0,top
U6,125.0,-83.5,180.0,top
