Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C14, C2, C22, C23, C26, C3, C4, C5, C6, C8, C9",0805,13,0.1uF,
"C10, C11, C19, C24, C27, C7",0805,6,0.1 uF,
C13,0805,1,10uF,
"J1, J2, J3, J4, J5, J6, J7, J8",CONN_SD-43045-001_02_MOL,8,430450200,
J10,4_pin0430450401,1,Molex Micro-Fit 4 Pin,
"J11, J12, J9",3pin_CON_22035035_MOL,3,22035035,
"J13, J14",PinSocket_1x01_P2.54mm_Vertical,2,Conn_01x01_Socket,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED_LTST-C170GKT_LTO,8,LTST-C170GKT,
"Q1, Q2, Q3, Q4",LFPAK56_SOT669_NEX-mosfet,4,PSMN1R8-40YLC_115,
"R1, R12, R13, R15, R16, R23, R29, R3, R32, R5, R7",0805,11,10k,
"R10, R30, R9",0805,3,100,
"R11, R27",0805,2,0,
"R14, R17, R18, R19, R20",0805,5,50,
"R2, R24, R4, R6, R8",0805,5,1K,
R21,0805,1,150,
R22,0805,1,20K,
R25,0805,1,300,
R26,0805,1,220,
"R28, R31",0805,2,40k,
TP1,TestPoint_Pad_D1.0mm,1,3.3V,
TP10,TestPoint_Plated_Hole_D2.0mm,1,3V3,
TP11,TestPoint_Plated_Hole_D2.0mm,1,GND,
TP12,TestPoint_Pad_D1.0mm,1,3V3,
"TP13, TP17, TP23",TestPoint_Pad_D1.0mm,3,NC,
TP14,TestPoint_Pad_D1.0mm,1,2V5,
TP15,TestPoint_Pad_D1.0mm,1,5V Pressure Sensor,
"TP18, TP21",TestPoint_Pad_D1.0mm,2,2.4V,
TP19,TestPoint_Pad_D1.0mm,1,CS2,
TP2,TestPoint_Pad_D1.0mm,1,5V,
TP20,TestPoint_Pad_D1.0mm,1,MOSI,
TP22,TestPoint_Pad_D1.0mm,1,SCK,
TP26,TestPoint_Pad_D1.0mm,1,12V Torque_P,
TP27,TestPoint_Pad_D1.0mm,1,12V Torque_N,
TP3,TestPoint_Pad_D1.0mm,1,MISO,
TP35,TestPoint_Pad_D1.0mm,1,2V2,
TP37,TestPoint_Pad_D1.0mm,1,12V,
TP4,TestPoint_Pad_D1.0mm,1,Mosfet #4,
TP40,TestPoint_Pad_D1.0mm,1,GND,
TP5,TestPoint_Pad_D1.0mm,1,Mosfet #3,
TP6,TestPoint_Pad_D1.0mm,1,Mosfet #2,
TP7,TestPoint_Plated_Hole_D2.0mm,1,5V,
TP8,TestPoint_Pad_D1.0mm,1,Mosfet #1,
TP9,TestPoint_Plated_Hole_D2.0mm,1,12V,
"U11, U12, U6",SOT-23-5_MC_MCH,3,MCP6286T-E/OT,
U2,DGS0010A_N,1,ADS1118QDGSRQ1,
U3,SOIC127P600X175-8N,1,MCP2562-E/P,
U4,DCY4_TEX,1,UA78M05QDCYRG4Q1,
U5,QFN_LHHXTR_STM,1,ASM330LHHTR,
