Designator,Footprint,Quantity,Value,LCSC Part #
"12V0_IN1, J3, J5",CONN_SD-43045-001_02_MOL,3,430450200,
"12V0_TP1, CAN_NEG_TP1, CAN_POS_TP1, ESTOP_TP1, HSENSOR_OUTPUT_TP1, H_REF_TP1, IGNITIONSIGNAL_TP1, INA_TP1, LOAD_POS_TP1, MOSFET_CONN_TP1, NEW_HSENSOR_OUTPUT_TP1, OLD_HSENSOR_TP1, RELAY_O_TP1, RXD_TP1, TXD_TP1",TestPoint_Pad_D1.0mm,15,TestPoint,
"ADJ_LDO_TP1, HFC_NEG_TP1, HFC_RELAY_TP1, LOAD_NEG_TP1, LOAD_SWITCH_TP1, LOAD_SWITCH_TP3, MOSFET_DRAIN_TP1, MOSFET_DRAIN_TP2, OCTOCOUPLER_TP1, SOURCE_POS_TP1, SOURCE_POS_TP2",TestPoint_Pad_D1.0mm,11,V_DIVIDED,
"C1, C10, C11, C12, C2",0805,5,10uF,
C101,CAPC17595_87N_KEM,1,1nF,
C102,CAPC17595_87N_KEM,1,100nF,
C103,CAPC17595_87N_KEM,1,6.8nF,
C104,CAPC17595_87N_KEM,1,100uF,
"C14, C18, C3, C4, C5, C7, C8, C9",0805,8,0.1uF,
C17,CAPC17595_87N_KEM,1,3.3nF,
C6,0805,1,0.1 uF,
"D1, D2, D3, D7",D_SOD-523,4,1N4148WT,
D4,P25_DO-214AC_SMA,1,68V,
"D5, D6",WL-SMCW_0603(diode),2,WL-SMCW_0603,
"F3, F4",FUSE_3557-2,2,3557-2,
"J1, J2",3pin_CON_22035035_MOL,2,22035035,
"J18, J6, J7",AMASS_XT60-M,3,XT60-M,
J4,HARWIN_M22-7130442,1,M22-7130442,
J9,4_pin0430450401,1,Molex Micro-Fit 4 Pin,
"Q1, Q2, Q5",TRANS_IRLML6344TRPBF,3,IRLML6344TRPBF,
"Q3, Q4",H-PSOF8L_100CU_ONS_OSI,2,NTBLS0D8N08XTXG,
R1,0805,1,330 ohms,
R10,0805,1,100,
R101,0603_resistors,1,470k,
R102,0603_resistors,1,191k,
R103,0603_resistors,1,100k,
R104,0603_resistors,1,2.2k,
R105,0603_resistors,1,10 ohm,
R107,0603_resistors,1,432k,
"R108, R4, R9",0603_resistors,3,10k,
R109,0603_resistors,1,0.1,
"R11, R_8, R_9",0805,3,10k,
R12,0805,1,1.2kohm,
R13,0805,1,1.2k ohm,
R14,0805,1,500 ohm,
"R15, R2, R6",0805,3,100k,
R17,0805,1,50k ohm,
R18,0805,1,10k ohm,
R19,0805,1,3.3k,
R20,0805,1,4.7k,
"R3, R5",0603_resistors,2,1k,
"R7, R_10, R_11, R_6, R_7",0805,5,0,
R8,WSLP2726_1.3mOHM_VIS,1,WSLP27261L300FEA,
R_1,0805,1,120ohm,
"R_2, R_5",0805,2,1k ohm,
TP1,SEM_logo,1,TestPoint,
TP17,TestPoint_Pad_D1.0mm,1,5V0_LDO_TP,
U1,MODULE_NUCLEO-F446RE,1,STM32,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,LTC4364HS,
U11,DBV5,1,LMV331IDBVR,
"U12, U16, U5, U6",J115F11AH12VDCS615U,4,J115F11AH12VDCS61.5U,
U13,DFG0004A_TEX,1,ISOM8110DFGRQ1,
U15,D8-M,1,INA826AID,
U2,SOIC127P600X175-8N,1,MCP2562-E_P,
U3,Potentiometer_Vishay_T73XW_Horizontal,1,10kohm,
U4,TSSOP14_PW_TEX-M,1,SN74HCS21QPWRQ1,
U7,NDP0003B,1,LM1117IDTX-5.0/NOPB,
U8,DCY0004A_M,1,LM1117IMPX-ADJ/NOPB,
U9,TRIM_PV36W101C01B00,1,100 ohm,
V-DVIDER-TP1,TestPoint_Pad_D1.0mm,1,v-dvider-tp,
