Designator,Mid X,Mid Y,Rotation,Layer
12V0_IN1,132.7334,-15.535999,180.0,top
C1,132.18,-42.145001,270.0,top
C10,42.8,-112.6,270.0,top
C101,118.2,-33.735001,90.0,top
C102,114.930795,-33.735001,90.0,top
C103,108.4,-40.2,180.0,top
C104,96.527799,-15.42,0.0,top
C11,37.8125,-117.875,0.0,top
C12,137.95,-17.514301,90.0,top
C14,51.35,-123.1,0.0,top
C17,100.6436,-21.15,0.0,top
C18,128.53,-95.6,180.0,top
C2,140.88,-34.345001,0.0,top
C3,113.93,-95.6,180.0,top
C4,63.575,-149.05,90.0,top
C5,53.917011,-145.88,270.0,top
C6,63.2,-128.0,0.0,top
C7,62.3,-124.3575,90.0,top
C8,123.64,-168.6,0.0,top
C9,124.95,-95.6,0.0,top
D1,94.2,-91.8,180.0,top
D2,65.2,-56.0,0.0,top
D3,64.5,-92.75,180.0,top
D4,111.5,-41.0,0.0,top
D5,76.975,-102.175,270.0,top
D6,70.6,-96.1,0.0,top
D7,122.95,-91.825,0.0,top
F3,36.07,-73.4,90.0,top
F4,44.35,-73.4,90.0,top
J1,44.15,-148.735,90.0,top
J18,133.4,-49.6,180.0,top
J2,50.4,-115.6,270.0,top
J3,40.291698,-99.4,270.0,top
J4,66.15,-149.1,270.0,top
J5,40.291698,-89.15,270.0,top
J6,36.6,-54.9,90.0,top
J7,86.28,-11.25,180.0,top
J9,49.68725,-134.4625,90.0,bottom
Q1,77.55,-98.1,90.0,top
Q2,77.5,-94.715,90.0,top
Q3,103.700001,-50.3388,180.0,top
Q4,92.250001,-43.3388,180.0,top
Q5,87.885,-93.7,0.0,top
R1,73.95,-97.8125,270.0,top
R10,85.0,-94.7625,90.0,top
R101,116.419205,-37.5,90.0,top
R102,114.769005,-37.5,90.0,top
R103,113.25,-37.5,90.0,top
R104,111.65,-37.5,90.0,top
R105,108.377799,-41.95,0.0,top
R107,96.535,-17.02,0.0,top
R108,99.665,-17.02,0.0,top
R109,99.665,-15.42,0.0,top
R11,100.5525,-95.45,0.0,top
R12,57.546,-139.92,0.0,top
R13,57.546,-127.67,180.0,top
R14,66.805,-138.52425,180.0,top
R15,82.85,-94.7625,270.0,top
R17,54.7085,-122.125,90.0,top
R18,54.7085,-116.475,90.0,top
R19,37.8125,-115.875,180.0,top
R2,81.3125,-101.525,0.0,top
R20,35.05,-116.7875,270.0,top
R3,67.95,-94.215,270.0,top
R4,113.4498,-33.735001,90.0,top
R5,69.25,-102.385,90.0,top
R6,69.8,-98.9,270.0,top
R7,74.0625,-106.6375,180.0,top
R8,85.189,-32.0838,270.0,top
R9,116.6,-33.735001,90.0,top
R_1,51.75,-148.735,90.0,top
R_10,57.8125,-119.35,180.0,top
R_11,66.17,-120.4375,270.0,top
R_2,77.65,-123.5125,270.0,top
R_5,77.65,-120.0125,270.0,top
R_6,94.4375,-93.7,180.0,top
R_7,90.5,-94.65,90.0,top
R_8,69.15,-119.6,0.0,top
R_9,59.8125,-121.35,0.0,top
TP1,48.175,-164.875,0.0,top
U1,110.435,-131.85,270.0,top
U10,102.25,-25.75,0.0,top
U11,65.219999,-124.5438,90.0,top
U12,125.0,-77.275,0.0,top
U13,64.75,-99.75,270.0,top
U15,66.805,-133.27425,90.0,top
U16,65.25,-77.275,0.0,top
U2,58.8,-148.735,180.0,top
U3,73.9,-121.85,0.0,top
U4,65.65,-112.35,90.0,top
U5,65.1,-41.325,0.0,top
U6,95.4,-77.275,0.0,top
U7,139.7,-38.9,0.0,top
U8,37.9,-110.125,90.0,top
U9,58.6085,-133.77,90.0,top
